,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id,lab
34,PkC_cs,mfr,-0.7242970388478275,2.554905283852999,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1109,orange,34,hausser
35,GoC,mfr,-0.5537345540306956,10.287118489363992,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,447,green,35,hausser
36,GoC,mfr,-0.4437635516586463,15.272501046824434,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,452,green,36,hausser
37,GoC,mfr,-0.6839894405169542,4.382194235644266,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,956,green,37,hausser
38,GoC,mfr,-0.6403206073794875,6.36186009602848,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,464,green,38,hausser
39,GoC,mfr,-0.0607885293119874,32.63414143535768,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,468,green,39,hausser
40,GoC,mfr,-0.7548036814650968,1.171929038203453,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,973,green,40,hausser
41,GoC,mfr,-0.4438328090045711,15.269361361299138,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,478,green,41,hausser
42,GoC,mfr,0.3426803252161799,50.9248412240004,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,522,green,42,hausser
43,GoC,mfr,-0.0348438406963488,33.81030783643816,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,1011,green,43,hausser
44,GoC,mfr,-0.3481399016908832,19.60746632264476,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,530,green,44,hausser
45,GoC,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,603,gray,45,hausser
46,GoC,mfr,-0.5335937749429037,11.200172718134596,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-11-05_DK215/20-11-05_DK215_probe1,3191,green,46,hausser
47,GrC,mfr,-0.7806548994117083,0.0,/media/npyx/ssd2/ago/optotag/recordings/GrC/22-03-04_MO003_GrC,230,gray,47,hausser
48,GrC,mfr,-0.6798210008449371,4.571164654977117,/media/npyx/ssd2/ago/optotag/recordings/GrC/22-03-04_MO003_GrC,250,brown,48,hausser
49,GrC,mfr,-0.2440307266038528,24.327111086766635,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,692,brown,49,hausser
50,GrC,mfr,-0.4880998695382614,13.262575693309302,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,699,brown,50,hausser
51,GrC,mfr,-0.581386752040975,9.033544522933294,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,706,brown,51,hausser
52,GrC,mfr,-0.6306037465188588,6.802360478883592,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,1133,brown,52,hausser
53,GrC,mfr,-0.5668446275339315,9.692791527162289,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,1233,brown,53,hausser
54,GrC,mfr,-0.5043279939762251,12.52689622537454,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,2255,brown,54,hausser
55,PkC_ss,mfr,1.8856856863127391,120.87484483726098,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,975,blue,55,hausser
56,PkC_ss,mfr,0.9396995211049424,77.98987674657722,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,997,blue,56,hausser
57,PkC_cs,mfr,-0.7549266767100373,1.1663532197099324,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,285,orange,57,hausser
58,PkC_cs,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,441,gray,58,hausser
59,GrC,mfr,-0.6282070867465295,6.911009718841547,/media/npyx/4TB_ssd1/optag_recordings/GrC/18-12-13_YC008/18-12-13_YC008_probe1,445,brown,59,hausser
